month,hour,segment,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,mean_abs_rt_actual,mean_abs_rt_error,mean_abs_delta,sign_error_rate,diagnosis_tag
2025-03,12,9_16,31,20.29878382933138,10.197137179256583,28.022003914061727,28.022003914061727,121.02258064516128,28.022003914061727,48.09290322580645,0.5161290322580645,sign error
2025-03,13,9_16,31,12.989860985358005,10.811308753298393,26.487452285438977,26.487452285438977,128.5251612903226,26.487452285438977,48.66387096774194,0.5483870967741935,sign error
2025-03,14,9_16,31,30.624244690884627,7.990229504029698,31.795220890821167,31.795220890821174,144.7561290322581,31.795220890821167,62.624838709677405,0.45161290322580644,sign error
2025-03,15,9_16,31,29.547372807362233,12.70732628048668,37.94407638039145,37.94407638039145,165.19870967741934,37.94407638039145,72.4841935483871,0.41935483870967744,sign error
2025-03,16,9_16,31,47.26440911048736,16.463126429722337,50.9730549055796,50.9730549055796,213.8067741935484,50.9730549055796,83.59290322580642,0.3225806451612903,sign error
2025-04,17,17_24,30,50.8486562939245,30.196821514599872,86.93853519444438,86.93853519444438,317.53499999999997,86.93853519444438,111.29966666666668,0.3333333333333333,sign error
2025-04,18,17_24,30,10.332888247738758,10.332888247738758,40.66109189959195,40.661091899591945,439.4956666666666,40.66109189959195,62.19933333333333,0.16666666666666666,smooth bias
2025-04,19,17_24,30,13.826248109859067,11.449297889947006,43.85317671261102,43.85317671261102,472.6596666666667,43.85317671261102,54.39000000000001,0.3,sign error
2025-04,20,17_24,30,8.081631730396063,6.621848693224185,29.622059252404547,29.622059252404547,467.9856666666666,29.622059252404547,57.095000000000006,0.2,month-hour seasonal concentration
2025-04,21,17_24,30,6.712193318209343,6.223554878189094,30.16295878148907,30.162958781489078,477.28566666666666,30.16295878148907,67.17,0.1,month-hour seasonal concentration
2025-04,22,17_24,30,6.365418518159983,4.472959963643059,22.048904548349736,22.048904548349743,461.668,22.048904548349736,62.98000000000001,0.06666666666666667,month-hour seasonal concentration
2025-04,23,17_24,30,6.150092560696123,5.185044207778058,22.870607426868364,22.870607426868357,427.95633333333336,22.870607426868364,53.68866666666666,0.16666666666666666,month-hour seasonal concentration
2025-04,24,17_24,30,7.3204130030431,6.809642641812325,29.32491372361311,29.32491372361312,416.92066666666665,29.32491372361311,60.02633333333333,0.1,month-hour seasonal concentration
2025-04,1,1_8,30,12.611687549263417,12.092951406053906,47.01617714148837,47.01617714148837,396.74566666666664,47.01617714148837,47.96299999999998,0.36666666666666664,sign error
2025-04,2,1_8,30,14.914961821252655,12.506982686816503,29.183303604264317,29.18330360426433,369.0809999999999,29.183303604264317,44.384000000000015,0.06666666666666667,month-hour seasonal concentration
2025-04,3,1_8,30,19.526359090652985,9.617264462284401,27.245462479808378,27.245462479808378,355.8443333333334,27.245462479808378,45.20966666666667,0.16666666666666666,month-hour seasonal concentration
2025-04,4,1_8,30,9.211071442175347,4.099316078942293,16.520712593668996,16.520712593669,353.4783333333332,16.520712593668996,41.494666666666674,0.16666666666666666,month-hour seasonal concentration
2025-04,5,1_8,30,16.794191013454242,8.80555294713279,26.740380073486794,26.74038007348679,353.3716666666667,26.740380073486794,40.449,0.16666666666666666,month-hour seasonal concentration
2025-04,6,1_8,30,22.85788882652049,16.492699947634588,48.90236636727348,48.90236636727347,387.179,48.90236636727348,53.78633333333334,0.23333333333333334,month-hour seasonal concentration
2025-04,7,1_8,30,24.314461143049034,20.789882447145587,50.946193526686095,50.946193526686095,337.54600000000005,50.946193526686095,67.88033333333333,0.3333333333333333,sign error
2025-04,8,1_8,30,69.6077888164369,35.67302773858073,71.96423293740162,71.96423293740162,149.2663333333333,71.96423293740162,80.07833333333333,0.4,sign error
2025-04,9,9_16,30,21.578077423528946,13.32835003542615,26.057455196511214,26.057455196511214,100.61133333333333,26.057455196511214,35.54566666666666,0.13333333333333333,month-hour seasonal concentration
2025-04,10,9_16,30,19.395020199371583,6.400484603531864,18.699764039063346,18.699764039063346,88.59833333333333,18.699764039063346,24.325333333333333,0.16666666666666666,month-hour seasonal concentration
2025-04,11,9_16,30,6.25552130347241,1.6855319854451856,6.077289272028361,6.0772892720283584,84.35633333333334,6.077289272028361,18.174999999999994,0.3,sign error
2025-04,12,9_16,30,19.464629884418805,2.0420634531752238,14.566411170418114,14.566411170418114,78.602,14.566411170418114,15.399333333333335,0.2,month-hour seasonal concentration
2025-04,13,9_16,30,13.97851589007113,3.4599967766875253,10.792478280512434,10.792478280512436,80.23,10.792478280512434,16.416,0.26666666666666666,month-hour seasonal concentration
2025-04,14,9_16,30,25.802638096271128,10.766940677775576,32.0324178442206,32.0324178442206,97.26066666666667,32.0324178442206,40.05433333333334,0.4,sign error
